date,ch_area,disk_median
2014-10-03,0.16362,334.19
2014-10-04,0.10632,328.94
2014-10-05,0.01232,338.75
2014-10-06,0.00212,337.94
2014-10-07,0.01181,341.94
2014-10-08,0.03354,360.19
2014-10-09,0.0411,527.12
2014-10-10,0.13008,335.56
2014-10-11,0.08722,316.19
2014-10-12,0.05776,299.88
2014-10-13,0.02662,289.75
2014-10-14,0.02159,286.5
2014-10-15,0.00127,142.81
2014-10-16,0.00625,298.19
2014-10-17,0.04612,247.62
2014-10-18,0.12156,294.94
2014-10-19,0.04884,288.44
2014-10-20,,
2014-10-21,0.06251,301.88
2014-10-22,0.05093,283.38
2014-10-23,0.00147,299.94
2014-10-24,0.00352,301.31
2014-10-25,0.03413,43.88
2014-10-26,0.06105,312.81
2014-10-27,0.09155,297.62
2014-10-28,0.06165,285.44
2014-10-29,0.0511,285.56
2014-10-30,0.1392,280.75
2014-10-31,0.14967,292.19
2014-11-01,0.05022,290.12
2014-11-02,0.0407,299.88
2014-11-03,0.02505,76.44
2014-11-04,0.02585,324.25
2014-11-05,0.04146,329.19
2014-11-06,0.04919,322.25
2014-11-07,0.09243,158.56
2014-11-08,0.17913,286.62
2014-11-09,0.13415,272.5
2014-11-10,0.04611,281.19
2014-11-11,0.03236,143.88
2014-11-12,0.02398,299.56
2014-11-13,0.04012,311.31
2014-11-14,0.21324,308.81
2014-11-15,0.12687,314.88
2014-11-16,0.03762,316.81
2014-11-17,0.06653,322.81
2014-11-18,0.0212,323.25
2014-11-19,0.00469,322.12
2014-11-20,0.00903,331.75
2014-11-21,0.0172,321.5
2014-11-22,0.03729,298.94
2014-11-23,0.06958,282.56
2014-11-24,0.02594,273.75
2014-11-25,0.01713,276.56
2014-11-26,0.03914,300.94
2014-11-27,0.12214,316.12
2014-11-28,0.16215,351.25
2014-11-29,,
2014-11-30,0.05545,384.69
2014-12-01,0.04859,361.25
2014-12-02,,
2014-12-03,0.08066,341.06
2014-12-04,0.14307,333.5
2014-12-05,0.17173,337.31
2014-12-06,0.12848,307.12
2014-12-07,0.05596,290.19
2014-12-08,0.01282,292.44
2014-12-09,0.00117,302.56
2014-12-10,0.0,302.19
2014-12-11,0.15877,313.69
2014-12-12,0.11194,323.25
2014-12-13,0.05011,332.69
2014-12-14,0.11225,348.12
2014-12-15,0.0061,307.94
2014-12-16,0.00095,360.88
2014-12-17,0.00541,87.0
2014-12-18,0.00244,368.56
2014-12-19,0.04406,255.5
2014-12-20,0.05335,375.81
2014-12-21,0.07317,362.38
2014-12-22,0.05366,333.69
2014-12-23,0.01091,324.81
2014-12-24,0.10111,323.94
2014-12-25,0.11875,320.5
2014-12-26,0.06236,334.5
2014-12-27,0.05075,327.31
2014-12-28,0.05708,329.69
2014-12-29,0.05718,319.5
2014-12-30,0.09721,311.44
2014-12-31,0.05352,322.25
2015-01-01,0.07356,310.12
2015-01-02,0.13509,308.25
2015-01-03,0.14563,304.19
2015-01-04,0.13306,296.12
2015-01-05,0.04548,286.62
2015-01-06,0.00934,288.12
2015-01-07,0.05673,285.25
2015-01-08,0.14478,297.38
2015-01-09,0.08796,312.25
2015-01-10,0.05688,332.75
2015-01-11,0.07522,339.94
2015-01-12,0.00324,342.69
2015-01-13,0.00084,356.5
2015-01-14,0.02547,356.31
2015-01-15,0.10189,358.81
2015-01-16,0.04707,341.19
2015-01-17,0.07782,337.25
2015-01-18,0.06688,331.25
